file,left1,top1,right1,bottom1,left2,top2,right2,bottom2,left3,top3,right3,bottom3,left4,top4,right4,bottom4
01cd2ba5-2baf-44b2-bf15-ee57e1ea4599.png,664,380,805,710,,,,,,,,,,,,
03ae75b6-45a7-4a68-9871-f07b82b17bf6.png,584,367,825,833,210,396,392,889,,,,,,,,
05b91b32-5635-4071-b45d-6a73f8eea918.png,576,206,795,817,160,264,477,765,,,,,,,,
05ead813-3c04-4e42-a5e1-4ca43294ece9.png,563,619,897,860,,,,,,,,,,,,
061b44ff-fd22-473d-853f-81da70e14a63.png,596,121,903,741,,,,,,,,,,,,
0620afa3-b2ea-442e-9e4f-c854086ca763.png,212,436,505,720,,,,,,,,,,,,
0637b804-e693-48d1-8716-f7c63ce6162a.png,507,109,851,917,,,,,,,,,,,,
066d9e27-e48f-4453-b1e1-d73c34910722.png,467,98,738,431,,,,,,,,,,,,
06737bed-8dc1-47d9-8c30-324282dcc84d.png,115,347,413,601,,,,,,,,,,,,
068b608d-f71c-4859-b909-62c1665b507f.png,181,106,401,371,,,,,,,,,,,,
0697baae-e475-4fa3-ad82-51b319a026cc.png,510,380,784,662,152,383,367,623,,,,,,,,
06bc1519-c307-4a98-b00b-8329f2ddf615.png,217,325,511,581,592,253,904,681,,,,,,,,
06cf339f-a71a-4177-b950-ae1fdd5f4762.png,63,476,370,648,540,226,876,583,,,,,,,,
0702a884-c189-4a05-bcf5-dc72f4f406fc.png,569,247,843,692,160,251,425,717,,,,,,,,
074f8729-c5ea-4830-8249-9a04208eab5e.png,13,526,435,822,611,515,1004,842,,,,,,,,
07c379f0-8ceb-4ba9-84be-cfbb29de8ba5.png,543,257,850,684,,,,,,,,,,,,
0808c4af-9ed6-46e3-a936-2cafb0004e6a.png,138,541,370,804,525,520,799,858,,,,,,,,
0812652c-3d92-4cda-9a06-c9d232e0b96d.png,618,295,916,805,,,,,,,,,,,,
08307845-ccbd-4616-b8e9-58532a766dbe.png,217,566,431,798,,,,,,,,,,,,
085a6486-c3b3-4ca2-80f1-be07d23e853b.png,665,231,850,515,147,325,305,550,332,422,487,671,,,,
08725d04-9db2-4b52-87fe-6cdb150a4bb3.png,668,468,947,912,84,682,450,917,,,,,,,,
08f9a388-c195-4b33-8acd-e05d4da14585.png,297,267,536,609,,,,,,,,,,,,
0902e0fc-fcf3-40b5-ac04-c3ecc14c2355.png,649,326,907,642,,,,,,,,,,,,
0909a8b0-09e7-4a78-9bfb-417a61c6723c.png,194,347,450,619,,,,,,,,,,,,
09147009-39a9-497a-ac10-a07cf7126d58.png,69,413,302,730,,,,,,,,,,,,
0927e819-9640-487d-a04e-f5d4732dbe0a.png,536,336,762,598,,,,,,,,,,,,
