file,left1,top1,right1,bottom1,left2,top2,right2,bottom2,left3,top3,right3,bottom3,left4,top4,right4,bottom4
34fdff09-5bc2-4df5-b8cf-3c37662037c8.png,333,502,477,632,,,,,,,,,,,,
35477f5b-9747-4f99-b1ce-7c97150cccfd.png,576,520,701,649,165,509,366,652,,,,,,,,
3666d8e9-60ac-4d61-a527-a87a4fbe4459.png,308,541,406,687,,,,,,,,,,,,
36bd8ee6-cfb2-48ae-a57d-dcea7ba8deec.png,329,417,459,547,,,,,,,,,,,,
39693e31-b11e-4cd5-a626-2862cb0ede1d.png,567,476,693,610,251,394,378,582,,,,,,,,
3b4a83a5-e755-4b20-b21c-0a0424095325.png,305,525,448,655,,,,,,,,,,,,
3dc73486-dbf7-4b9d-9e26-fb24848b16a2.png,724,622,849,738,,,,,,,,,,,,
3eb19434-abba-4221-bc02-545d97b9a093.png,328,315,437,491,592,367,694,504,,,,,,,,
3f2b878e-9e3b-410b-a739-b43d81b98692.png,200,372,389,614,566,583,681,656,,,,,,,,
5620c301-4fee-478e-bdb0-124a00010443.png,231,263,271,321,248,529,373,665,,,,,,,,
575014d8-3cea-4d15-9c5b-5b7323131fca.png,181,436,286,526,,,,,,,,,,,,
5759f979-a582-4eea-8056-cc17c85bb984.png,786,766,866,841,,,,,,,,,,,,
57a82f17-448b-411d-81e2-2f40e84510be.png,335,609,427,696,,,,,,,,,,,,
5893d5cd-50f1-402a-a8ad-55a49f0f5ebf.png,297,196,425,312,244,399,394,608,,,,,,,,
5b924690-7a86-49b8-b36e-1d12d5f4fff6.png,213,525,333,593,,,,,,,,,,,,
5b9dbcce-4621-4180-bd1d-805b3ce9d7e0.png,759,604,862,700,,,,,,,,,,,,
5c50e664-6bcd-4c92-b4d7-aa6a6fb1f46e.png,706,474,810,624,,,,,,,,,,,,
5ca7b965-3241-4b44-b6cb-32ad06bcca84.png,318,255,438,367,,,,,,,,,,,,
5dbb418a-7dc7-4ceb-a3f0-956b28b39734.png,696,467,802,562,,,,,,,,,,,,
5dd4d7bf-e9d6-4660-aa90-c405ac7dc453.png,160,643,309,721,,,,,,,,,,,,
5e36040b-0804-4c66-a879-32afdacf18ce.png,344,550,459,694,,,,,,,,,,,,
61d1d633-b916-4c45-bdd4-cbd800153f00.png,659,572,803,707,,,,,,,,,,,,
62bfeec8-bc21-4903-adf0-5aeff23ede5b.png,225,420,308,503,,,,,,,,,,,,
646917f3-2303-43ef-acac-37470021e91f.png,214,479,334,556,,,,,,,,,,,,
64dd81eb-6c14-431b-ad5f-520297c62f97.png,719,412,803,481,,,,,,,,,,,,
68abf087-9790-4441-b12d-75ebc081ca4b.png,739,478,862,594,,,,,,,,,,,,
6a82ef54-9e27-4c55-afba-47298ad088c9.png,236,512,349,602,,,,,,,,,,,,
6c0341ef-950c-45c1-9009-777d893e8060.png,726,571,854,693,136,575,347,697,,,,,,,,
6c490407-f039-4eaf-94c8-1bff41b09f6c.png,697,627,838,802,188,621,346,767,188,516,247,562,,,,
6d13500d-05ee-4f4f-bc08-aeda019858fe.png,219,393,368,542,311,193,411,271,680,428,818,542,,,,
6d9912ad-e56b-4ff3-931e-75b39df49c0f.png,214,515,310,601,,,,,,,,,,,,
6dc49720-b500-4b82-8909-08bc243ea4df.png,186,421,329,564,,,,,,,,,,,,
6e32b376-5740-4565-abd0-b41035f7db64.png,313,426,450,513,,,,,,,,,,,,
6f37008d-c8a4-45b0-a1cd-7b215df62cfc.png,246,498,340,559,,,,,,,,,,,,
6f4c4632-50d2-4ba9-8a75-0c651f66a096.png,212,482,425,649,565,499,688,616,,,,,,,,
6f558e12-6030-4774-a18f-e7e7f5618bdb.png,263,294,371,398,,,,,,,,,,,,
7181705d-bd1b-4896-94e6-0cc4d7562d56.png,157,594,300,717,,,,,,,,,,,,
71c7d986-b660-4df2-9c2c-a346d0aa7f03.png,404,537,472,653,,,,,,,,,,,,
74bf0245-0e19-45d6-9f31-65eaff09fb8a.png,635,624,778,752,271,576,390,667,,,,,,,,
76c091fb-7149-448c-bf1d-ae3320317b33.png,259,147,384,240,,,,,,,,,,,,
77c809fd-1fb7-4dae-a0e6-33408425eb92.png,680,379,822,517,,,,,,,,,,,,
77e922f5-6c41-4885-9e1a-f5e50c24d2ca.png,359,444,450,553,,,,,,,,,,,,
7b4f5dc1-3585-4cf8-83f9-39df3101feb4.png,250,334,358,427,,,,,,,,,,,,
7d5f828f-5c6a-4898-a64f-8364339f35cd.png,671,449,805,548,,,,,,,,,,,,
7dc823e0-f7c6-42b3-8035-553aeda2a2e5.png,738,444,837,520,171,400,373,615,,,,,,,,
8e52b303-1920-4d5d-8487-d86fb4e3e315.png,670,207,771,292,,,,,,,,,,,,
aac0f44c-3942-460a-8d75-ece0ac88ab0f.png,762,523,835,617,,,,,,,,,,,,
ab940f3f-3e24-4923-9907-17b3507157be.png,155,289,278,421,683,474,788,597,,,,,,,,
ad410976-c87b-444f-abd7-36b1292d680b.png,247,494,399,695,589,657,702,797,,,,,,,,
